Master Seed,Membrane Seed,Input Seed,Input Sigma,Corrected,Minimum Input,Window Size,RP Offset,Correction Duration,Correction Current,Confidence Scaling,Recall Threshold,Memories Stored,Recalls,Mean Error,Final Position Error
9032867596,2390786570,6983476408,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1247400952717285,0.1258026980094273
9032867597,2390786571,6983476409,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1301290371902263,0.1598547835310036
9032867598,2390786572,6983476410,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1278832361088955,0.1771160639724532
9032867599,2390786573,6983476411,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1283780911180156,0.2007176865630642
9032867600,2390786574,6983476412,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1315337424275138,0.1859143770050417
9032867601,2390786575,6983476413,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1258298455836205,0.1511657563193177
9032867602,2390786576,6983476414,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1242325695848869,0.100940755006257
9032867603,2390786577,6983476415,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1292365553653984,0.1800031990042495
9032867604,2390786578,6983476416,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1320018676899611,0.151442845992489
9032867605,2390786579,6983476417,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1200171622895962,0.1749788954349169
9032867606,2390786580,6983476418,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1288249198504265,0.1671431708668651
9032867607,2390786581,6983476419,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1276823733082409,0.1565450053612629
9032867608,2390786582,6983476420,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1314024993273989,0.1760837632392265
